year_film,year_ceremony,category,name,film,winner,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris,Película,Presupuesto,Taquilla
1971.0,1972,ACTOR,Topol,Fiddler on the Roof,False,,,,,,,
1960.0,1961,ACTOR,Trevor Howard,Sons and Lovers,False,,,,,,,
1935.0,1936,ACTOR,Victor McLaglen,The Informer,True,1935.0,49.0,Blanca,Reino Unido,,,
1929.0,1930,ACTOR,Wallace Beery,The Big House,False,1931.0,51.0,Blanca,Estados Unidos,,,
1931.0,1932,ACTOR,Wallace Beery,The Champ,True,1931.0,51.0,Blanca,Estados Unidos,,,
1936.0,1937,ACTOR,Walter Huston,Dodsworth,False,,,,,,,
1941.0,1942,ACTOR,Walter Huston,All That Money Can Buy,False,,,,,,,
1971.0,1972,ACTOR,Walter Matthau,Kotch,False,,,,,,,
1975.0,1976,ACTOR,Walter Matthau,The Sunshine Boys,False,,,,,,,
1942.0,1943,ACTOR,Walter Pidgeon,Mrs. Miniver,False,,,,,,,
1943.0,1944,ACTOR,Walter Pidgeon,Madame Curie,False,,,,,,,
1928.0,1929,ACTOR,Warner Baxter,In Old Arizona,True,1929.0,40.0,Blanca,Estados Unidos,"""In Old Arizona""",1.2 millones,1.5 millones
1967.0,1968,ACTOR,Warren Beatty,Bonnie and Clyde,False,,,,,,,
,2021,,Will Smith,,,,,,,"""King Richard""",35 millones,157.6 millones
1950.0,1951,ACTOR,William Holden,Sunset Blvd.,False,1952.0,35.0,Blanca,Estados Unidos,,,
1953.0,1954,ACTOR,William Holden,Stalag 17,True,1952.0,35.0,Blanca,Estados Unidos,,,
1934.0,1935,ACTOR,William Powell,The Thin Man,False,,,,,,,
1936.0,1937,ACTOR,William Powell,My Man Godfrey,False,,,,,,,
1947.0,1948,ACTOR,William Powell,Life with Father,False,,,,,,,
1956.0,1957,ACTOR,Yul Brynner,The King and I,True,1955.0,39.0,Blanca,Reino Unido,,,
